route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
,,1,CRISTO REY-PROSPERIDAD,,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__1___.aspx,,FFFFFF
6__2___,CRTM,2,MANUEL BECERRA-REINA VICTORIA,,3,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__2_A__.aspx,0178BC,FFFFFF
6__3___,CRTM,3,PUERTA TOLEDO-SAN AMARO,,3,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__3___.aspx,0178BC,FFFFFF
6__4___,CRTM,4,CIUDAD LINEAL-PUERTA ARGANDA,,3,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__4___.aspx,0178BC,FFFFFF
6__5___,CRTM,5,SOL/SEVILLA-CHAMARTIN,,3,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__5___.aspx,0178BC,FFFFFF
6__6___,CRTM,6,BENAVENTE-ORCASITAS,,3,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__6___.aspx,0178BC,FFFFFF
6__7___,CRTM,7,ALONSO MARTINEZ-MANOTERAS,,3,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__7___.aspx,0178BC,FFFFFF
6__8___,CRTM,8,LEGAZPI-VALDEBERNARDO,,3,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__8___.aspx,0178BC,FFFFFF
6__9___,CRTM,9,SEVILLA-HORTALEZA,,3,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__9___.aspx,0178BC,FFFFFF
6__10___,CRTM,10,CIBELES-PALOMERAS,,3,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__10_A__.aspx,0178BC,FFFFFF
6__11___,CRTM,11,MARQUES DE VIANA-BARRIO BLANCO,,3,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__11___.aspx,0178BC,FFFFFF
6__12___,CRTM,12,CRISTO REY-MARQUES DE ZAFRA,,3,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__12___.aspx,0178BC,FFFFFF
6__14___,CRTM,14,CONDE DE CASAL-PIO XII,,3,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__14___.aspx,0178BC,FFFFFF
6__15___,CRTM,15,SOL/SEVILLA-LA ELIPA,,3,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__15___.aspx,0178BC,FFFFFF
6__16___,CRTM,16,MONCLOA-PIO XII,,3,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__16___.aspx,0178BC,FFFFFF
6__17___,CRTM,17,PLAZA MAYOR-PARQUE EUROPA,,3,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__17___.aspx,0178BC,FFFFFF
6__18___,CRTM,18,PLAZA MAYOR-VILLAVERDE CRUCE,,3,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__18___.aspx,0178BC,FFFFFF
6__19___,CRTM,19,PLAZA CATALUÑA-LEGAZPI,,3,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__19___.aspx,0178BC,FFFFFF
6__20___,CRTM,20,SOL/SEVILLA-PAVONES,,3,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__20___.aspx,0178BC,FFFFFF
6__21___,CRTM,21,PINTOR ROSALES-EL SALVADOR,,3,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__21___.aspx,0178BC,FFFFFF
6__22___,CRTM,22,LEGAZPI-VILLAVERDE ALTO,,3,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__22___.aspx,0178BC,FFFFFF
6__23___,CRTM,23,PLAZA MAYOR-VILLAVERDE CRUCE,,3,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__23_A__.aspx,0178BC,FFFFFF
