shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
6__27____1__IT_1,40.405293872084,-3.702411927806,1000001,0
6__27____1__IT_1,40.4052952723019,-3.70242746433027,1000002,0.001327507145
6__27____1__IT_1,40.4053024583302,-3.70251874165614,1000003,0.01044146392
6__27____1__IT_1,40.4053057305063,-3.70260902136475,1000004,0.027224855492
6__27____1__IT_1,40.4053080212761,-3.7026913372058,1000005,0.050997916003
6__27____1__IT_1,40.4052937382712,-3.70280948018252,1000006,0.084920781377
6__27____1__IT_1,40.4052569175276,-3.70291556244911,1000007,0.128729869298
6__27____1__IT_1,40.4052249758409,-3.70296254789984,1000008,0.177874481415
6__27____1__IT_1,40.4051250608514,-3.70303248669797,1000009,0.239597988345
6__27____1__IT_1,40.4050299908664,-3.70304924090328,1000010,0.311969872866
6__27____1__IT_1,40.4049822671054,-3.70306584542285,1000011,0.38982341265
6__27____1__IT_1,40.4049509184425,-3.70305603946885,1000012,0.471254849449
6__27____1__IT_1,40.404862863742,-3.70302850358406,1000013,0.562736022175
6__27____1__IT_1,40.4048452888227,-3.70298954140352,1000014,0.658056071399
6__27____1__IT_1,40.4048682136618,-3.70290175272216,1000015,0.761248264131
6__27____1__IT_1,40.405030584341,-3.70228745269519,1000016,0.919596109685
6__27____1__IT_1,40.4051056988004,-3.70205015787391,1000017,1.099738070504
6__27____1__IT_1,40.4052576805902,-3.70157003059846,1000018,1.32397679371
6__27____1__IT_1,40.4053122307531,-3.70138866900431,1000019,1.564753640561
6__27____1__IT_1,40.4059879854938,-3.69888613455038,1000020,2.030744663103
6__27____1__IT_1,40.4059879854938,-3.69888613455038,2000001,2.030744663103
6__27____1__IT_1,40.4062034469767,-3.69808815601793,2000002,2.102557294311
6__27____1__IT_1,40.4062485793331,-3.69791614463515,2000003,2.189801847966
6__27____1__IT_1,40.405114629455,-3.69715574033538,2000004,2.418492967254
6__27____1__IT_1,40.4043365632458,-3.69667165777684,2000005,2.742822694259
6__27____1__IT_1,40.4043365632458,-3.69667165777684,3000001,2.742822694259
6__27____1__IT_1,40.4042435133229,-3.69658086071144,3000002,2.755708681023
6__27____1__IT_1,40.404208480863,-3.69648721132421,3000003,2.777441985881
6__27____1__IT_1,40.404209275896,-3.69635506509478,3000004,2.810389290739
6__27____1__IT_1,40.4042638818481,-3.69615350469846,3000005,2.861482864186
6__27____1__IT_1,40.4041348053289,-3.69393662611517,3000006,3.101240954183
6__27____1__IT_1,40.4041348053289,-3.69393662611517,4000001,3.101240954183
6__27____1__IT_1,40.4041075124074,-3.69348539159065,4000002,3.139651473612
6__27____1__IT_1,40.405072975908,-3.69336177590005,4000003,3.285743222318
6__27____1__IT_1,40.4058364538447,-3.69329230160546,4000004,3.516787920992
6__27____1__IT_1,40.4063624756848,-3.69323162910089,4000005,3.806449030115
6__27____1__IT_1,40.4063624756848,-3.69323162910089,5000001,3.806449030115
6__27____1__IT_1,40.4066900924436,-3.69319384005383,5000002,3.842956492871
6__27____1__IT_1,40.4067057949209,-3.69319178906984,5000003,3.881215641058
6__27____1__IT_1,40.4068034043617,-3.6931790383143,5000004,3.930363595277
6__27____1__IT_1,40.4070943914891,-3.69316673816239,5000005,4.011828786483
6__27____1__IT_1,40.4071398375029,-3.69316481670601,5000006,4.098341245563
6__27____1__IT_1,40.4073549387154,-3.69314994184574,5000007,4.208763875341
6__27____1__IT_1,40.4074246240498,-3.69311623651013,5000008,4.327433571453
6__27____1__IT_1,40.4075617656921,-3.69304990352104,5000009,4.462333611588
6__27____1__IT_1,40.4076128680235,-3.69300958199066,5000010,4.603858109429
6__27____1__IT_1,40.4076756085692,-3.69296349415005,5000011,4.753369861697
6__27____1__IT_1,40.4077785262457,-3.69287525531809,5000012,4.916540745742
6__27____1__IT_1,40.4078667585132,-3.69279643421143,5000013,5.091571454605
6__27____1__IT_1,40.4079600180793,-3.69269215017388,5000014,5.280220801134
6__27____1__IT_1,40.4080508789624,-3.69258146180071,5000015,5.482651946625
6__27____1__IT_1,40.4081172126171,-3.69249603725284,5000016,5.695415477824
6__27____1__IT_1,40.408195979365,-3.69236928221609,5000017,5.922040008234
6__27____1__IT_1,40.4082601015934,-3.69224556245208,5000018,6.161347980514
6__27____1__IT_1,40.4083068953292,-3.69214251700016,5000019,6.410826114452
6__27____1__IT_1,40.408342646731,-3.69205163642649,5000020,6.668976945392
