route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
6__27___,6_I03,6_I03-09303F_07:00:00_1_1_6__27___,Plaza Castilla,PLAZA CASTILLA,0,,6__27____1__IT_1,1
6__27___,6_I03,6_I03-09303F_07:00:00_2_1_6__27___,Embajadores,EMBAJADORES,1,,6__27____2__IT_1,1
6__27___,6_I03,6_I03-09303F_07:16:00_1_2_6__27___,Plaza Castilla,PLAZA CASTILLA,0,,6__27____1__IT_1,1
6__27___,6_I03,6_I03-09303F_07:16:00_2_2_6__27___,Embajadores,EMBAJADORES,1,,6__27____2__IT_1,1
6__27___,6_I03,6_I03-09303F_07:32:00_1_3_6__27___,Plaza Castilla,PLAZA CASTILLA,0,,6__27____1__IT_1,1
6__27___,6_I03,6_I03-09303F_07:32:00_2_3_6__27___,Embajadores,EMBAJADORES,1,,6__27____2__IT_1,1
6__27___,6_I03,6_I03-09303F_07:48:00_1_4_6__27___,Plaza Castilla,PLAZA CASTILLA,0,,6__27____1__IT_1,1
6__27___,6_I03,6_I03-09303F_07:48:00_2_4_6__27___,Embajadores,EMBAJADORES,1,,6__27____2__IT_1,1
6__27___,6_I03,6_I03-09303F_08:00:00_1_5_6__27___,Plaza Castilla,PLAZA CASTILLA,0,,6__27____1__IT_1,1
6__27___,6_I03,6_I03-09303F_08:00:00_2_5_6__27___,Embajadores,EMBAJADORES,1,,6__27____2__IT_1,1
6__27___,6_I03,6_I03-09303F_08:13:48_2_6_6__27___,Embajadores,EMBAJADORES,1,,6__27____2__IT_1,1
6__27___,6_I03,6_I03-09303F_08:15:15_1_6_6__27___,Plaza Castilla,PLAZA CASTILLA,0,,6__27____1__IT_1,1
6__27___,6_I03,6_I03-09303F_08:27:36_2_7_6__27___,Embajadores,EMBAJADORES,1,,6__27____2__IT_1,1
6__27___,6_I03,6_I03-09303F_08:30:30_1_7_6__27___,Plaza Castilla,PLAZA CASTILLA,0,,6__27____1__IT_1,1
6__27___,6_I03,6_I03-09303F_08:41:24_2_8_6__27___,Embajadores,EMBAJADORES,1,,6__27____2__IT_1,1
6__27___,6_I03,6_I03-09303F_08:45:45_1_8_6__27___,Plaza Castilla,PLAZA CASTILLA,0,,6__27____1__IT_1,1
6__27___,6_I03,6_I03-09303F_08:55:12_2_9_6__27___,Embajadores,EMBAJADORES,1,,6__27____2__IT_1,1
6__27___,6_I03,6_I03-09303F_09:00:00_1_9_6__27___,Plaza Castilla,PLAZA CASTILLA,0,,6__27____1__IT_1,1
6__27___,6_I03,6_I03-09303F_09:00:00_2_10_6__27___,Embajadores,EMBAJADORES,1,,6__27____2__IT_1,1
6__27___,6_I03,6_I03-09303F_09:14:00_1_10_6__27___,Plaza Castilla,PLAZA CASTILLA,0,,6__27____1__IT_1,1
6__27___,6_I03,6_I03-09303F_09:14:15_2_11_6__27___,Embajadores,EMBAJADORES,1,,6__27____2__IT_1,1
6__27___,6_I03,6_I03-09303F_09:28:00_1_11_6__27___,Plaza Castilla,PLAZA CASTILLA,0,,6__27____1__IT_1,1
6__27___,6_I03,6_I03-09303F_09:28:30_2_12_6__27___,Embajadores,EMBAJADORES,1,,6__27____2__IT_1,1
6__27___,6_I03,6_I03-09303F_09:42:00_1_12_6__27___,Plaza Castilla,PLAZA CASTILLA,0,,6__27____1__IT_1,1
6__27___,6_I03,6_I03-09303F_09:42:45_2_13_6__27___,Embajadores,EMBAJADORES,1,,6__27____2__IT_1,1
6__27___,6_I03,6_I03-09303F_09:56:00_1_13_6__27___,Plaza Castilla,PLAZA CASTILLA,0,,6__27____1__IT_1,1
6__27___,6_I03,6_I03-09303F_09:57:00_2_14_6__27___,Embajadores,EMBAJADORES,1,,6__27____2__IT_1,1
6__27___,6_I03,6_I03-09303F_10:00:00_1_14_6__27___,Plaza Castilla,PLAZA CASTILLA,0,,6__27____1__IT_1,1
6__27___,6_I03,6_I03-09303F_10:00:00_2_15_6__27___,Embajadores,EMBAJADORES,1,,6__27____2__IT_1,1
6__27___,6_I03,6_I03-09303F_10:12:24_2_16_6__27___,Embajadores,EMBAJADORES,1,,6__27____2__IT_1,1
6__27___,6_I03,6_I03-09303F_10:14:48_1_15_6__27___,Plaza Castilla,PLAZA CASTILLA,0,,6__27____1__IT_1,1
6__27___,6_I03,6_I03-09303F_10:24:48_2_17_6__27___,Embajadores,EMBAJADORES,1,,6__27____2__IT_1,1
6__27___,6_I03,6_I03-09303F_10:29:36_1_16_6__27___,Plaza Castilla,PLAZA CASTILLA,0,,6__27____1__IT_1,1
6__27___,6_I03,6_I03-09303F_10:37:12_2_18_6__27___,Embajadores,EMBAJADORES,1,,6__27____2__IT_1,1
6__27___,6_I03,6_I03-09303F_10:44:24_1_17_6__27___,Plaza Castilla,PLAZA CASTILLA,0,,6__27____1__IT_1,1
6__27___,6_I03,6_I03-09303F_10:49:36_2_19_6__27___,Embajadores,EMBAJADORES,1,,6__27____2__IT_1,1
6__27___,6_I03,6_I03-09303F_10:59:12_1_18_6__27___,Plaza Castilla,PLAZA CASTILLA,0,,6__27____1__IT_1,1
6__27___,6_I03,6_I03-09303F_11:00:00_1_19_6__27___,Plaza Castilla,PLAZA CASTILLA,0,,6__27____1__IT_1,1
6__27___,6_I03,6_I03-09303F_11:00:00_2_20_6__27___,Embajadores,EMBAJADORES,1,,6__27____2__IT_1,1
6__27___,6_I03,6_I03-09303F_11:11:24_1_20_6__27___,Plaza Castilla,PLAZA CASTILLA,0,,6__27____1__IT_1,1
6__27___,6_I03,6_I03-09303F_11:11:24_2_21_6__27___,Embajadores,EMBAJADORES,1,,6__27____2__IT_1,1
6__27___,6_I03,6_I03-09303F_11:22:48_1_21_6__27___,Plaza Castilla,PLAZA CASTILLA,0,,6__27____1__IT_1,1
6__27___,6_I03,6_I03-09303F_11:22:48_2_22_6__27___,Embajadores,EMBAJADORES,1,,6__27____2__IT_1,1
6__27___,6_I03,6_I03-09303F_11:34:12_1_22_6__27___,Plaza Castilla,PLAZA CASTILLA,0,,6__27____1__IT_1,1
6__27___,6_I03,6_I03-09303F_11:34:12_2_23_6__27___,Embajadores,EMBAJADORES,1,,6__27____2__IT_1,1
6__27___,6_I03,6_I03-09303F_11:45:36_1_23_6__27___,Plaza Castilla,PLAZA CASTILLA,0,,6__27____1__IT_1,1
6__27___,6_I03,6_I03-09303F_11:45:36_2_24_6__27___,Embajadores,EMBAJADORES,1,,6__27____2__IT_1,1
6__27___,6_I03,6_I03-09303F_11:57:00_1_24_6__27___,Plaza Castilla,PLAZA CASTILLA,0,,6__27____1__IT_1,1
6__27___,6_I03,6_I03-09303F_11:57:00_2_25_6__27___,Embajadores,EMBAJADORES,1,,6__27____2__IT_1,1
6__27___,6_I03,6_I03-09303F_12:00:00_1_25_6__27___,Plaza Castilla,PLAZA CASTILLA,0,,6__27____1__IT_1,1
6__27___,6_I03,6_I03-09303F_12:00:00_2_26_6__27___,Embajadores,EMBAJADORES,1,,6__27____2__IT_1,1
6__27___,6_I03,6_I03-09303F_12:11:24_2_27_6__27___,Embajadores,EMBAJADORES,1,,6__27____2__IT_1,1
6__27___,6_I03,6_I03-09303F_12:11:48_1_26_6__27___,Plaza Castilla,PLAZA CASTILLA,0,,6__27____1__IT_1,1
6__27___,6_I03,6_I03-09303F_12:22:48_2_28_6__27___,Embajadores,EMBAJADORES,1,,6__27____2__IT_1,1
6__27___,6_I03,6_I03-09303F_12:23:36_1_27_6__27___,Plaza Castilla,PLAZA CASTILLA,0,,6__27____1__IT_1,1
6__27___,6_I03,6_I03-09303F_12:34:12_2_29_6__27___,Embajadores,EMBAJADORES,1,,6__27____2__IT_1,1
6__27___,6_I03,6_I03-09303F_12:35:24_1_28_6__27___,Plaza Castilla,PLAZA CASTILLA,0,,6__27____1__IT_1,1
6__27___,6_I03,6_I03-09303F_12:45:36_2_30_6__27___,Embajadores,EMBAJADORES,1,,6__27____2__IT_1,1
6__27___,6_I03,6_I03-09303F_12:47:12_1_29_6__27___,Plaza Castilla,PLAZA CASTILLA,0,,6__27____1__IT_1,1
6__27___,6_I03,6_I03-09303F_12:57:00_2_31_6__27___,Embajadores,EMBAJADORES,1,,6__27____2__IT_1,1
6__27___,6_I03,6_I03-09303F_12:59:00_1_30_6__27___,Plaza Castilla,PLAZA CASTILLA,0,,6__27____1__IT_1,1
6__27___,6_I03,6_I03-09303F_13:00:00_1_31_6__27___,Plaza Castilla,PLAZA CASTILLA,0,,6__27____1__IT_1,1
6__27___,6_I03,6_I03-09303F_13:00:00_2_32_6__27___,Embajadores,EMBAJADORES,1,,6__27____2__IT_1,1
6__27___,6_I03,6_I03-09303F_13:11:24_1_32_6__27___,Plaza Castilla,PLAZA CASTILLA,0,,6__27____1__IT_1,1
6__27___,6_I03,6_I03-09303F_13:12:12_2_33_6__27___,Embajadores,EMBAJADORES,1,,6__27____2__IT_1,1
6__27___,6_I03,6_I03-09303F_13:22:48_1_33_6__27___,Plaza Castilla,PLAZA CASTILLA,0,,6__27____1__IT_1,1
6__27___,6_I03,6_I03-09303F_13:24:24_2_34_6__27___,Embajadores,EMBAJADORES,1,,6__27____2__IT_1,1
6__27___,6_I03,6_I03-09303F_13:34:12_1_34_6__27___,Plaza Castilla,PLAZA CASTILLA,0,,6__27____1__IT_1,1
6__27___,6_I03,6_I03-09303F_13:36:36_2_35_6__27___,Embajadores,EMBAJADORES,1,,6__27____2__IT_1,1
6__27___,6_I03,6_I03-09303F_13:45:36_1_35_6__27___,Plaza Castilla,PLAZA CASTILLA,0,,6__27____1__IT_1,1
6__27___,6_I03,6_I03-09303F_13:48:48_2_36_6__27___,Embajadores,EMBAJADORES,1,,6__27____2__IT_1,1
6__27___,6_I03,6_I03-09303F_13:57:00_1_36_6__27___,Plaza Castilla,PLAZA CASTILLA,0,,6__27____1__IT_1,1
6__27___,6_I03,6_I03-09303F_14:00:00_1_37_6__27___,Plaza Castilla,PLAZA CASTILLA,0,,6__27____1__IT_1,1
6__27___,6_I03,6_I03-09303F_14:00:00_2_37_6__27___,Embajadores,EMBAJADORES,1,,6__27____2__IT_1,1
6__27___,6_I03,6_I03-09303F_14:12:12_1_38_6__27___,Plaza Castilla,PLAZA CASTILLA,0,,6__27____1__IT_1,1
6__27___,6_I03,6_I03-09303F_14:12:48_2_38_6__27___,Embajadores,EMBAJADORES,1,,6__27____2__IT_1,1
6__27___,6_I03,6_I03-09303F_14:24:24_1_39_6__27___,Plaza Castilla,PLAZA CASTILLA,0,,6__27____1__IT_1,1
6__27___,6_I03,6_I03-09303F_14:25:36_2_39_6__27___,Embajadores,EMBAJADORES,1,,6__27____2__IT_1,1
6__27___,6_I03,6_I03-09303F_14:36:36_1_40_6__27___,Plaza Castilla,PLAZA CASTILLA,0,,6__27____1__IT_1,1
6__27___,6_I03,6_I03-09303F_14:38:24_2_40_6__27___,Embajadores,EMBAJADORES,1,,6__27____2__IT_1,1
6__27___,6_I03,6_I03-09303F_14:48:48_1_41_6__27___,Plaza Castilla,PLAZA CASTILLA,0,,6__27____1__IT_1,1
6__27___,6_I03,6_I03-09303F_14:51:12_2_41_6__27___,Embajadores,EMBAJADORES,1,,6__27____2__IT_1,1
6__27___,6_I03,6_I03-09303F_15:00:00_1_42_6__27___,Plaza Castilla,PLAZA CASTILLA,0,,6__27____1__IT_1,1
6__27___,6_I03,6_I03-09303F_15:00:00_2_42_6__27___,Embajadores,EMBAJADORES,1,,6__27____2__IT_1,1
6__27___,6_I03,6_I03-09303F_15:12:00_2_43_6__27___,Embajadores,EMBAJADORES,1,,6__27____2__IT_1,1
6__27___,6_I03,6_I03-09303F_15:12:12_1_43_6__27___,Plaza Castilla,PLAZA CASTILLA,0,,6__27____1__IT_1,1
6__27___,6_I03,6_I03-09303F_15:24:00_2_44_6__27___,Embajadores,EMBAJADORES,1,,6__27____2__IT_1,1
6__27___,6_I03,6_I03-09303F_15:24:24_1_44_6__27___,Plaza Castilla,PLAZA CASTILLA,0,,6__27____1__IT_1,1
6__27___,6_I03,6_I03-09303F_15:36:00_2_45_6__27___,Embajadores,EMBAJADORES,1,,6__27____2__IT_1,1
6__27___,6_I03,6_I03-09303F_15:36:36_1_45_6__27___,Plaza Castilla,PLAZA CASTILLA,0,,6__27____1__IT_1,1
6__27___,6_I03,6_I03-09303F_15:48:00_2_46_6__27___,Embajadores,EMBAJADORES,1,,6__27____2__IT_1,1
6__27___,6_I03,6_I03-09303F_15:48:48_1_46_6__27___,Plaza Castilla,PLAZA CASTILLA,0,,6__27____1__IT_1,1
6__27___,6_I03,6_I03-09303F_16:00:00_1_47_6__27___,Plaza Castilla,PLAZA CASTILLA,0,,6__27____1__IT_1,1
6__27___,6_I03,6_I03-09303F_16:00:00_2_47_6__27___,Embajadores,EMBAJADORES,1,,6__27____2__IT_1,1
6__27___,6_I03,6_I03-09303F_16:12:24_2_48_6__27___,Embajadores,EMBAJADORES,1,,6__27____2__IT_1,1
6__27___,6_I03,6_I03-09303F_16:12:36_1_48_6__27___,Plaza Castilla,PLAZA CASTILLA,0,,6__27____1__IT_1,1
6__27___,6_I03,6_I03-09303F_16:24:48_2_49_6__27___,Embajadores,EMBAJADORES,1,,6__27____2__IT_1,1
6__27___,6_I03,6_I03-09303F_16:25:12_1_49_6__27___,Plaza Castilla,PLAZA CASTILLA,0,,6__27____1__IT_1,1
6__27___,6_I03,6_I03-09303F_16:37:12_2_50_6__27___,Embajadores,EMBAJADORES,1,,6__27____2__IT_1,1
6__27___,6_I03,6_I03-09303F_16:37:48_1_50_6__27___,Plaza Castilla,PLAZA CASTILLA,0,,6__27____1__IT_1,1
6__27___,6_I03,6_I03-09303F_16:49:36_2_51_6__27___,Embajadores,EMBAJADORES,1,,6__27____2__IT_1,1
6__27___,6_I03,6_I03-09303F_16:50:24_1_51_6__27___,Plaza Castilla,PLAZA CASTILLA,0,,6__27____1__IT_1,1
6__27___,6_I03,6_I03-09303F_17:00:00_1_52_6__27___,Plaza Castilla,PLAZA CASTILLA,0,,6__27____1__IT_1,1
6__27___,6_I03,6_I03-09303F_17:00:00_2_52_6__27___,Embajadores,EMBAJADORES,1,,6__27____2__IT_1,1
6__27___,6_I03,6_I03-09303F_17:11:00_2_53_6__27___,Embajadores,EMBAJADORES,1,,6__27____2__IT_1,1
6__27___,6_I03,6_I03-09303F_17:11:48_1_53_6__27___,Plaza Castilla,PLAZA CASTILLA,0,,6__27____1__IT_1,1
6__27___,6_I03,6_I03-09303F_17:22:00_2_54_6__27___,Embajadores,EMBAJADORES,1,,6__27____2__IT_1,1
6__27___,6_I03,6_I03-09303F_17:23:36_1_54_6__27___,Plaza Castilla,PLAZA CASTILLA,0,,6__27____1__IT_1,1
6__27___,6_I03,6_I03-09303F_17:33:00_2_55_6__27___,Embajadores,EMBAJADORES,1,,6__27____2__IT_1,1
6__27___,6_I03,6_I03-09303F_17:35:24_1_55_6__27___,Plaza Castilla,PLAZA CASTILLA,0,,6__27____1__IT_1,1
6__27___,6_I03,6_I03-09303F_17:44:00_2_56_6__27___,Embajadores,EMBAJADORES,1,,6__27____2__IT_1,1
6__27___,6_I03,6_I03-09303F_17:47:12_1_56_6__27___,Plaza Castilla,PLAZA CASTILLA,0,,6__27____1__IT_1,1
6__27___,6_I03,6_I03-09303F_17:55:00_2_57_6__27___,Embajadores,EMBAJADORES,1,,6__27____2__IT_1,1
6__27___,6_I03,6_I03-09303F_17:59:00_1_57_6__27___,Plaza Castilla,PLAZA CASTILLA,0,,6__27____1__IT_1,1
6__27___,6_I03,6_I03-09303F_18:00:00_1_58_6__27___,Plaza Castilla,PLAZA CASTILLA,0,,6__27____1__IT_1,1
6__27___,6_I03,6_I03-09303F_18:00:00_2_58_6__27___,Embajadores,EMBAJADORES,1,,6__27____2__IT_1,1
